City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Ostersund,SE,2019-11-08 04:20:06,63.18,14.64,24.8,85,100,3.36
103,Vorukh,KG,2019-11-08 04:22:47,39.85,70.57,34.84,55,0,0.96
104,Bousse,FR,2019-11-08 04:22:47,49.28,6.2,41.0,100,40,4.7
105,Avarua,CK,2019-11-08 04:22:47,-21.21,-159.78,75.2,78,100,12.75
106,Lata,IN,2019-11-08 04:22:47,30.78,78.62,26.19,76,10,5.61
107,Meulaboh,ID,2019-11-08 04:22:48,4.14,96.13,79.81,74,100,2.95
108,Grand Gaube,MU,2019-11-08 04:22:48,-20.01,57.66,77.0,73,75,13.87
109,Tigre,AR,2019-11-08 04:22:48,-34.42,-58.58,64.4,55,0,13.87
110,Coihaique,CL,2019-11-08 04:22:48,-45.58,-72.07,37.4,98,100,1.12
111,Khovu-Aksy,RU,2019-11-08 04:22:48,51.13,93.72,27.23,80,79,2.39
112,Namatanai,PG,2019-11-08 04:22:49,-3.66,152.44,84.04,71,100,8.57
113,Kalemie,CD,2019-11-08 04:22:49,-5.95,29.2,64.13,96,78,1.79
114,Pathalgaon,IN,2019-11-08 04:22:49,22.56,83.46,68.2,58,100,4.83
115,Terenos,BR,2019-11-08 04:22:49,-20.44,-54.87,71.6,94,75,2.24
116,Tasiilaq,GL,2019-11-08 04:22:50,65.61,-37.64,35.6,69,100,40.26
117,Ketchikan,US,2019-11-08 04:22:50,55.34,-131.65,51.8,100,90,23.04
118,Hovd,NO,2019-11-08 04:22:50,63.83,10.7,26.6,85,20,3.36
119,Polewali,ID,2019-11-08 04:22:50,-4.03,119.8,96.49,35,87,7.81
120,Jalu,LY,2019-11-08 04:22:51,29.03,21.55,64.06,90,0,11.25
121,Chokurdakh,RU,2019-11-08 04:22:51,70.62,147.9,-5.08,98,86,8.37
122,Lagoa,PT,2019-11-08 04:22:51,37.14,-8.45,55.4,76,0,4.7
123,Beipiao,CN,2019-11-08 04:22:51,41.8,120.76,51.28,28,0,10.65
124,Marsh Harbour,BS,2019-11-08 04:22:52,26.54,-77.06,79.0,82,12,11.21
125,Portland,US,2019-11-08 04:19:08,43.66,-70.25,37.4,93,90,6.93
126,Saint-Francois,FR,2019-11-08 04:22:52,46.42,3.91,37.4,100,90,2.24
127,Temir,KZ,2019-11-08 04:22:52,49.14,57.13,31.15,69,100,8.7
128,Provideniya,RU,2019-11-08 04:22:53,64.42,-173.23,30.2,68,5,26.84
129,Taoudenni,ML,2019-11-08 04:22:53,22.68,-3.98,65.95,25,37,2.42
130,Tura,RU,2019-11-08 04:22:38,64.27,100.22,5.43,94,100,4.56
131,Dmitriyevka,GE,2019-11-08 04:22:53,43.08,41.0,60.15,41,0,4.0
