Weather_Challenge_p2,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
414,Mugla,BG,46.4,mist,41.62,24.49,Семеен хотел Мугла
415,Russell,US,66.2,clear sky,38.9,-98.86,Quality Inn
416,Vestmanna,FO,35.6,overcast clouds,62.16,-7.17,Budget Guesthouse Borgustova
418,Muroto,JP,60.8,few clouds,33.37,134.14,
428,Chekalin,RU,41.0,overcast clouds,54.1,36.24,
431,Wanaka,NZ,55.0,light rain,-44.7,169.14,Wanaka Homestead Lodge and Cottages
432,Lerwick,GB,42.8,scattered clouds,60.15,-1.15,The Lerwick Hotel
433,Lagoa,PT,59.0,broken clouds,37.14,-8.45,Agua Hotels Vale Da Lapa Lagoa
434,Beringovskiy,RU,27.82,overcast clouds,63.05,179.32,Beringgorski
439,Cochabamba,BO,66.2,broken clouds,-17.39,-66.16,Hotel Aranjuez Cochabamba
440,Ketchikan,US,51.8,light rain,55.34,-131.65,Snows Cove Lodge
442,Luleburgaz,TR,59.0,clear sky,41.4,27.36,alparslan rant a car
443,Paita,PE,66.36,few clouds,-5.09,-81.11,Hotel Náutico de Paita
444,Saint Anthony,US,51.8,haze,43.97,-111.68,Hunter's Escape
447,Yining,CN,58.17,broken clouds,29.04,114.56,Xiushui Hotel
449,Wuzhou,CN,62.06,clear sky,23.48,111.3,Wuzhou Hostel
452,Tiznit,MA,57.43,broken clouds,29.7,-9.73,Hotel Café Restaurant Assaka
453,College,US,24.8,clear sky,64.86,-147.8,Pike's Waterfront Lodge
455,Buenos Aires,AR,66.2,scattered clouds,-34.61,-58.44,Wilton Hotel
457,Hohhot,CN,28.4,mist,40.81,111.65,Sheraton Hohhot Hotel
459,Maldonado,UY,62.6,few clouds,-34.91,-54.96,Joan Miro Hotel
460,Coos Bay,US,54.0,clear sky,43.37,-124.22,Best Western Holiday Hotel
461,Vao,EE,42.58,overcast clouds,59.1,26.19,
463,Palmer,AU,64.99,few clouds,-34.85,139.16,Palmer Hotel
464,Oranjemund,ZA,58.55,scattered clouds,-28.55,16.43,Sperrgebiet Guest House
472,Izumo,JP,55.4,scattered clouds,35.37,132.75,Toyoko-Inn Izumoshi ekimae
473,Tosham,IN,66.2,clear sky,28.87,75.92,KAMAL PHOTOSTATE AND ONLINE SERVICES
475,Dongli,CN,66.2,few clouds,24.18,117.61,
477,Port Victoria,AU,57.2,scattered clouds,-34.5,137.49,Al Mare
478,Abu Kamal,SY,63.36,broken clouds,34.45,40.92,
479,Vardo,US,37.99,clear sky,39.62,-77.74,Holiday Inn Express & Suites Hagerstown
482,Karaidel,RU,22.78,scattered clouds,55.83,56.91,Karaidel
485,Necochea,AR,46.99,clear sky,-38.55,-58.74,dyd -mar Hotel
486,Roma,IT,52.0,overcast clouds,41.89,12.48,Hotel Cosmopolita Roma
491,Nalut,LY,55.6,clear sky,31.86,10.98,A rest and prayer for women and men
493,Grindavik,IS,41.0,broken clouds,63.84,-22.43,Northern Light Inn & Max's Restaurant
